STATIONS_ID;MESS_DATUM;QN_6;ASH_6;SH_TAG;WASH_6;WAAS_6;eor
          3;19360118;    5;-999;   4;    3.2;-999;eor
          3;19360119;    5;-999;   0;   -999;-999;eor
          3;19360120;    5;-999;   0;   -999;-999;eor
          3;19360121;    5;-999;   0;   -999;-999;eor
          3;19360122;    5;-999;   0;   -999;-999;eor
          3;19360123;    5;-999;   0;   -999;-999;eor
          3;19360124;    5;-999;   0;   -999;-999;eor
          3;19360125;    5;-999;   0;   -999;-999;eor
          3;19360126;    5;-999;   0;   -999;-999;eor
          3;19360127;    5;-999;   0;   -999;-999;eor
          3;19360128;    5;-999;   0;   -999;-999;eor
          3;19360129;    5;-999;   0;   -999;-999;eor
          3;19360130;    5;-999;   0;   -999;-999;eor
          3;19360131;    5;-999;   0;   -999;-999;eor
          3;19360201;    5;-999;   0;   -999;-999;eor
          3;19360202;    5;-999;   0;   -999;-999;eor
          3;19360203;    5;-999;   0;   -999;-999;eor
          3;19360204;    5;-999;   0;   -999;-999;eor
          3;19360205;    5;-999;   2;    1.4;-999;eor
          3;19360206;    5;-999;   0;   -999;-999;eor
          3;19360207;    5;-999;   0;   -999;-999;eor
          3;19360208;    5;-999;   0;   -999;-999;eor
          3;19360209;    5;-999;   0;   -999;-999;eor
          3;19360210;    5;-999;   0;   -999;-999;eor
          3;19360211;    5;-999;   0;   -999;-999;eor
          3;19360212;    5;-999;   0;   -999;-999;eor
          3;19360213;    5;-999;   0;   -999;-999;eor
          3;19360214;    5;-999;   0;   -999;-999;eor
          3;19360215;    5;-999;   0;   -999;-999;eor
          3;19360216;    5;-999;   0;   -999;-999;eor
          3;19360217;    5;-999;   0;   -999;-999;eor
          3;19360218;    5;-999;   0;   -999;-999;eor
          3;19360219;    5;-999;   0;   -999;-999;eor
          3;19360220;    5;-999;   0;   -999;-999;eor
          3;19360221;    5;-999;   0;   -999;-999;eor
          3;19360222;    5;-999;   0;   -999;-999;eor
          3;19360223;    5;-999;   0;   -999;-999;eor
          3;19360224;    5;-999;   0;   -999;-999;eor
          3;19360225;    5;-999;   0;   -999;-999;eor
          3;19360226;    5;-999;   0;   -999;-999;eor
          3;19360227;    5;-999;   0;   -999;-999;eor
          3;19360228;    5;-999;   0;   -999;-999;eor
          3;19360229;    5;-999;   0;   -999;-999;eor
          3;19360301;    5;-999;   0;   -999;-999;eor
          3;19360302;    5;-999;   0;   -999;-999;eor
          3;19360303;    5;-999;   0;   -999;-999;eor
          3;19360304;    5;-999;   0;   -999;-999;eor
          3;19360305;    5;-999;   0;   -999;-999;eor
          3;19360306;    5;-999;   0;   -999;-999;eor
          3;19360307;    5;-999;   0;   -999;-999;eor
          3;19360308;    5;-999;   0;   -999;-999;eor
          3;19360309;    5;-999;   0;   -999;-999;eor
          3;19360310;    5;-999;   0;   -999;-999;eor
          3;19360311;    5;-999;   0;   -999;-999;eor
          3;19360312;    5;-999;   0;   -999;-999;eor
          3;19360313;    5;-999;   0;   -999;-999;eor
          3;19360314;    5;-999;   0;   -999;-999;eor
          3;19360315;    5;-999;   0;   -999;-999;eor
          3;19360316;    5;-999;   0;   -999;-999;eor
          3;19360317;    5;-999;   0;   -999;-999;eor
          3;19360318;    5;-999;   0;   -999;-999;eor
          3;19360319;    5;-999;   0;   -999;-999;eor
          3;19360320;    5;-999;   0;   -999;-999;eor
          3;19360321;    5;-999;   0;   -999;-999;eor
          3;19360322;    5;-999;   0;   -999;-999;eor
          3;19360323;    5;-999;   0;   -999;-999;eor
          3;19360324;    5;-999;   0;   -999;-999;eor
          3;19360325;    5;-999;   0;   -999;-999;eor
          3;19360326;    5;-999;   0;   -999;-999;eor
          3;19360327;    5;-999;   0;   -999;-999;eor
          3;19360328;    5;-999;   0;   -999;-999;eor
          3;19360329;    5;-999;   0;   -999;-999;eor
          3;19360330;    5;-999;   0;   -999;-999;eor
          3;19360331;    5;-999;   0;   -999;-999;eor
          3;19360401;    5;-999;   0;   -999;-999;eor
          3;19360402;    5;-999;   0;   -999;-999;eor
          3;19360403;    5;-999;   0;   -999;-999;eor
          3;19360404;    5;-999;   0;   -999;-999;eor
          3;19360405;    5;-999;   0;   -999;-999;eor
          3;19360406;    5;-999;   0;   -999;-999;eor
          3;19360407;    5;-999;   0;   -999;-999;eor
          3;19360408;    5;-999;   0;   -999;-999;eor
          3;19360409;    5;-999;   0;   -999;-999;eor
          3;19360410;    5;-999;   0;   -999;-999;eor
          3;19360411;    5;-999;   0;   -999;-999;eor
          3;19360412;    5;-999;   0;   -999;-999;eor
          3;19360413;    5;-999;   0;   -999;-999;eor
          3;19360414;    5;-999;   0;   -999;-999;eor
          3;19360415;    5;-999;   0;   -999;-999;eor
          3;19360416;    5;-999;   0;   -999;-999;eor
          3;19360417;    5;-999;   0;   -999;-999;eor
          3;19360418;    5;-999;   0;   -999;-999;eor
          3;19360419;    5;-999;   0;   -999;-999;eor
          3;19360420;    5;-999;   0;   -999;-999;eor
          3;19360421;    5;-999;   0;   -999;-999;eor
          3;19360422;    5;-999;   0;   -999;-999;eor
          3;19360423;    5;-999;   0;   -999;-999;eor
          3;19360424;    5;-999;   0;   -999;-999;eor
